latent_dim,feature,encoder_weight,encoder_bias
latent_3,ldvm_count,-0.17542958,-0.024922602
latent_3,ldlm_count,-0.20272806,-0.024922602
latent_3,rdlm_count,0.33375645,-0.024922602
latent_3,rdvm_count,0.31372887,-0.024922602
latent_3,rsa_count,-0.14434387,-0.024922602
latent_3,rax_count,-0.07209249,-0.024922602
latent_3,rba_count,-0.017176941,-0.024922602
latent_4,lax,0.023964707,0.21114185
latent_4,lba,-0.38715172,0.21114185
latent_4,lsa,1.1445264,0.21114185
latent_4,ldvm,-0.70714414,0.21114185
latent_4,ldlm,-0.10849156,0.21114185
latent_4,rdlm,-0.32022113,0.21114185
latent_4,rdvm,-0.7728372,0.21114185
latent_4,rsa,0.60167855,0.21114185
latent_4,rax,-0.10653147,0.21114185
latent_4,rba,-0.45514035,0.21114185
latent_4,lax_count,0.3666256,0.21114185
latent_4,lba_count,-0.16831923,0.21114185
latent_4,lsa_count,0.012910199,0.21114185
latent_4,ldvm_count,-0.18939678,0.21114185
latent_4,ldlm_count,-0.56984866,0.21114185
latent_4,rdlm_count,0.15078056,0.21114185
latent_4,rdvm_count,0.0612273,0.21114185
latent_4,rsa_count,-0.31092468,0.21114185
latent_4,rax_count,-0.0014471686,0.21114185
latent_4,rba_count,-0.165413,0.21114185
latent_5,lax,-0.2397965,-0.047146153
latent_5,lba,-0.10799589,-0.047146153
latent_5,lsa,0.0030065468,-0.047146153
latent_5,ldvm,-0.6850776,-0.047146153
latent_5,ldlm,-0.0017978831,-0.047146153
latent_5,rdlm,0.39424342,-0.047146153
latent_5,rdvm,0.19297138,-0.047146153
latent_5,rsa,0.6693223,-0.047146153
latent_5,rax,0.03337475,-0.047146153
latent_5,rba,0.0682565,-0.047146153
latent_5,lax_count,-0.32486376,-0.047146153
latent_5,lba_count,-0.31680685,-0.047146153
latent_5,lsa_count,0.22297582,-0.047146153
latent_5,ldvm_count,-0.099756815,-0.047146153
latent_5,ldlm_count,0.31782892,-0.047146153
latent_5,rdlm_count,0.2615088,-0.047146153
latent_5,rdvm_count,0.30080777,-0.047146153
latent_5,rsa_count,-0.033821538,-0.047146153
latent_5,rax_count,-0.10821445,-0.047146153
latent_5,rba_count,0.09235928,-0.047146153
latent_6,lax,0.21908648,0.24786972
latent_6,lba,0.33915642,0.24786972
latent_6,lsa,-0.74493575,0.24786972
latent_6,ldvm,-0.21348418,0.24786972
latent_6,ldlm,-0.4166416,0.24786972
latent_6,rdlm,-0.12095163,0.24786972
latent_6,rdvm,0.53465873,0.24786972
latent_6,rsa,-0.005062056,0.24786972
latent_6,rax,0.6757821,0.24786972
latent_6,rba,-0.057397142,0.24786972
latent_6,lax_count,-0.1154694,0.24786972
latent_6,lba_count,0.019834707,0.24786972
latent_6,lsa_count,-0.17120385,0.24786972
latent_6,ldvm_count,0.19272096,0.24786972
latent_6,ldlm_count,-0.13072267,0.24786972
latent_6,rdlm_count,-0.07780808,0.24786972
latent_6,rdvm_count,-0.084966004,0.24786972
latent_6,rsa_count,-0.6794525,0.24786972
latent_6,rax_count,0.04645998,0.24786972
latent_6,rba_count,0.029666686,0.24786972
latent_7,lax,0.27903795,-0.29786992
latent_7,lba,-0.27642787,-0.29786992
latent_7,lsa,-0.05589348,-0.29786992
latent_7,ldvm,0.28126094,-0.29786992
latent_7,ldlm,-0.36872026,-0.29786992
latent_7,rdlm,-0.12551592,-0.29786992
latent_7,rdvm,0.82050073,-0.29786992
latent_7,rsa,0.7680417,-0.29786992
latent_7,rax,0.060573827,-0.29786992
latent_7,rba,-0.006395461,-0.29786992
latent_7,lax_count,0.00038107872,-0.29786992
latent_7,lba_count,-0.07157431,-0.29786992
latent_7,lsa_count,0.2347023,-0.29786992
latent_7,ldvm_count,0.017156275,-0.29786992
latent_7,ldlm_count,0.14478222,-0.29786992
latent_7,rdlm_count,-0.19973253,-0.29786992
latent_7,rdvm_count,0.085919224,-0.29786992
latent_7,rsa_count,-0.005867345,-0.29786992
latent_7,rax_count,-0.06419622,-0.29786992
latent_7,rba_count,-0.13083969,-0.29786992
latent_8,lax,0.18411711,0.44572574
latent_8,lba,-0.10735122,0.44572574
latent_8,lsa,-0.5739632,0.44572574
latent_8,ldvm,0.59961444,0.44572574
latent_8,ldlm,0.260972,0.44572574
latent_8,rdlm,-0.73327893,0.44572574
latent_8,rdvm,0.10657199,0.44572574
latent_8,rsa,-0.29102823,0.44572574
latent_8,rax,-0.5673348,0.44572574
latent_8,rba,-0.25754896,0.44572574
latent_8,lax_count,0.010836224,0.44572574
latent_8,lba_count,0.20661017,0.44572574
latent_8,lsa_count,-0.07247191,0.44572574
latent_8,ldvm_count,0.0788228,0.44572574
latent_8,ldlm_count,0.093918964,0.44572574
latent_8,rdlm_count,-0.014844734,0.44572574
latent_8,rdvm_count,-0.15021615,0.44572574
latent_8,rsa_count,0.3000185,0.44572574
latent_8,rax_count,-0.03508245,0.44572574
latent_8,rba_count,-0.119623475,0.44572574
latent_9,lax,0.13495778,-0.024607416
latent_9,lba,0.1929142,-0.024607416
latent_9,lsa,-0.07873146,-0.024607416
latent_9,ldvm,-0.55374277,-0.024607416
latent_9,ldlm,-0.48730478,-0.024607416
latent_9,rdlm,0.3438648,-0.024607416
latent_9,rdvm,0.23702973,-0.024607416
latent_9,rsa,0.08539281,-0.024607416
latent_9,rax,-0.30456838,-0.024607416
latent_9,rba,0.192789,-0.024607416
latent_9,lax_count,0.22567764,-0.024607416
latent_9,lba_count,0.0625835,-0.024607416
latent_9,lsa_count,-0.16790545,-0.024607416
latent_9,ldvm_count,-0.12326252,-0.024607416
latent_9,ldlm_count,0.021382956,-0.024607416
latent_9,rdlm_count,0.67646986,-0.024607416
latent_9,rdvm_count,0.44010332,-0.024607416
latent_9,rsa_count,1.4550321,-0.024607416
latent_9,rax_count,0.3449927,-0.024607416
latent_9,rba_count,0.04825367,-0.024607416
latent_10,lax,0.018830387,0.0535608
latent_10,lba,-0.34335738,0.0535608
latent_10,lsa,0.04425701,0.0535608
latent_10,ldvm,-0.048776142,0.0535608
latent_10,ldlm,0.3223159,0.0535608
latent_10,rdlm,0.06380471,0.0535608
latent_10,rdvm,0.8587265,0.0535608
latent_10,rsa,0.5069568,0.0535608
latent_10,rax,-0.38939062,0.0535608
latent_10,rba,-0.23716503,0.0535608
latent_10,lax_count,0.11719853,0.0535608
latent_10,lba_count,-0.2351154,0.0535608
latent_10,lsa_count,-0.15694863,0.0535608
latent_10,ldvm_count,-0.04244475,0.0535608
latent_10,ldlm_count,-0.39386082,0.0535608
latent_10,rdlm_count,0.25765568,0.0535608
latent_10,rdvm_count,0.06288033,0.0535608
latent_10,rsa_count,-0.28950366,0.0535608
latent_10,rax_count,0.13426098,0.0535608
latent_10,rba_count,-0.062121287,0.0535608
